Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Company_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Total_Guests,Calculated_Nights,Booking_Year,Arrival_Year,Arrival_Month,Booking_Month,Revenue_Per_Guest,Booking_Status,Lead_Time_Category
HTL024548,City Hotel,London,2024-07-29,2025-07-04,340,2,2,2,0.0,0,ARE,Direct,Direct,1,0,6,H,H,0,Non Refund,103.0,0.0,5,Contract,HB,4,178.66,0,1,4.37,No-Show,1,2025-07-07,714.65,2.0,4,2024,2025,July,July,357.325,Canceled,181-365 Days
HTL019878,City Hotel,London,2024-05-28,2025-02-08,256,1,2,2,2.0,0,JPN,Groups,Direct,0,0,0,H,H,0,No Deposit,80.0,0.0,3,Contract,Undefined,3,125.81,0,0,3.63,Canceled,1,2025-02-09,377.43,4.0,3,2024,2025,February,May,94.3575,Canceled,181-365 Days
HTL017377,City Hotel,Lisbon,2024-05-10,2024-06-20,41,1,1,4,0.0,0,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,53.0,0.0,2,Transient,FB,2,148.03,0,0,3.7,Check-Out,0,2024-06-20,296.06,4.0,2,2024,2024,June,May,74.015,Confirmed,31-90 Days
HTL003352,City Hotel,Lisbon,2024-03-15,2024-04-07,23,0,2,2,0.0,0,CAN,Offline TA/TO,TA/TO,0,0,0,H,H,3,No Deposit,96.0,0.0,0,Contract,HB,2,166.82,0,3,3.18,Check-Out,0,2024-04-08,333.63,2.0,2,2024,2024,April,March,166.815,Confirmed,8-30 Days
HTL012521,City Hotel,London,2024-08-21,2025-05-30,282,0,3,4,0.0,0,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,51.0,0.0,3,Group,HB,3,76.83,0,1,3.79,Check-Out,0,2025-06-01,230.5,4.0,3,2024,2025,May,August,57.625,Confirmed,181-365 Days
HTL014174,City Hotel,Dubai,2024-05-17,2025-03-26,313,1,1,2,0.0,0,DNK,Online TA,TA/TO,0,0,0,G,E,1,No Deposit,8.0,0.0,3,Group,Undefined,2,143.31,0,3,3.3,Canceled,1,2025-03-27,286.62,2.0,2,2024,2025,March,May,143.31,Canceled,181-365 Days
HTL005872,Resort Hotel,Maldives,2025-07-03,2026-06-16,348,1,3,2,0.0,0,BRA,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,100.0,0.0,0,Group,SC,4,226.94,0,0,4.22,Canceled,1,2026-06-19,907.75,2.0,4,2025,2026,June,July,453.875,Canceled,181-365 Days
HTL015091,City Hotel,Amsterdam,2024-03-23,2024-06-22,91,3,1,2,0.0,0,AUS,Offline TA/TO,TA/TO,0,0,0,C,C,0,Non Refund,38.0,0.0,0,Transient,Undefined,4,127.13,0,0,4.4,Canceled,1,2024-06-23,508.53,2.0,4,2024,2024,June,March,254.265,Canceled,91-180 Days
HTL009423,Resort Hotel,Algarve,2025-03-16,2025-11-10,239,1,0,1,1.0,0,GBR,Online TA,Corporate,0,0,0,C,C,1,No Deposit,160.0,1099.0,0,Transient,BB,1,144.7,1,2,3.85,Canceled,1,2025-11-10,144.7,2.0,1,2025,2025,November,March,72.35,Canceled,181-365 Days
HTL001216,City Hotel,Amsterdam,2025-04-20,2025-10-25,188,0,1,2,1.0,0,ESP,Direct,Direct,0,0,0,G,B,0,Non Refund,150.0,0.0,0,Group,HB,1,171.38,1,0,3.71,Canceled,1,2025-10-25,171.38,3.0,1,2025,2025,October,April,57.126666666666665,Canceled,181-365 Days
HTL017250,City Hotel,Barcelona,2024-07-02,2025-05-11,313,0,1,2,0.0,0,FRA,Online TA,TA/TO,1,1,7,A,E,0,Non Refund,92.0,0.0,0,Contract,HB,1,72.93,0,1,3.32,Canceled,1,2025-05-12,72.93,2.0,1,2024,2025,May,July,36.465,Canceled,181-365 Days
HTL014846,City Hotel,Lisbon,2024-11-15,2024-11-30,15,2,1,1,0.0,0,IND,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,81.0,0.0,0,Transient-Party,SC,3,94.42,0,1,3.75,Check-Out,0,2024-11-30,283.25,1.0,3,2024,2024,November,November,283.25,Confirmed,8-30 Days
HTL008779,City Hotel,Lisbon,2024-01-06,2024-02-15,40,2,3,2,0.0,0,BRA,Corporate,Corporate,1,0,7,E,E,1,No Deposit,137.0,1111.0,0,Transient,FB,5,95.72,0,1,4.71,Check-Out,0,2024-02-16,478.58,2.0,5,2024,2024,February,January,239.29,Confirmed,31-90 Days
HTL020142,Resort Hotel,Maldives,2024-08-07,2025-07-05,332,2,0,2,0.0,0,USA,Online TA,TA/TO,0,0,0,H,H,0,Non Refund,3.0,0.0,2,Contract,FB,2,247.08,0,0,3.94,Canceled,1,2025-07-06,494.16,2.0,2,2024,2025,July,August,247.08,Canceled,181-365 Days
