Order_ID,Order_Date,Order_Year,Order_Month,Order_Day,Order_Day_Name,Customer_ID,Product_ID,Product_Name_Clean,Quantity,Unit_Price,Calculated_Sales,Sales_Category
O0001,2026-02-19,2026,2,19,Thursday,C027,P019,Cricket Bat,2,2499,4998,Medium
O0002,2026-01-25,2026,1,25,Sunday,C006,P003,Wireless Mouse,2,899,1798,Low
O0003,2026-02-26,2026,2,26,Thursday,C015,P004,Smart Watch,1,3299,3299,Medium
O0004,2026-03-04,2026,3,4,Wednesday,C024,P015,Machine Learning Basics,3,999,2997,Medium
O0005,2026-03-29,2026,3,29,Sunday,C025,P009,Coffee Maker,5,3499,17495,High
O0006,2026-02-09,2026,2,9,Monday,C003,P018,Football,3,799,2397,Medium
O0007,2026-02-10,2026,2,10,Tuesday,C011,P003,Wireless Mouse,3,899,2697,Medium
O0008,2026-03-27,2026,3,27,Friday,C020,P005,Power Bank,4,1199,4796,Medium
O0009,2026-03-13,2026,3,13,Friday,C024,P009,Coffee Maker,2,3499,6998,High
O0010,2026-03-05,2026,3,5,Thursday,C026,P005,Power Bank,2,1199,2398,Medium
O0011,2026-01-26,2026,1,26,Monday,C022,P020,Dumbbell Set,2,1999,3998,Medium
O0012,2026-02-03,2026,2,3,Tuesday,C017,P008,Sneakers,5,2999,14995,High
O0013,2026-03-22,2026,3,22,Sunday,C005,P009,Coffee Maker,3,3499,10497,High
O0014,2026-02-20,2026,2,20,Friday,C007,P010,Electric Kettle,4,1499,5996,High
O0015,2026-02-16,2026,2,16,Monday,C027,P011,Air Fryer,3,4999,14997,High
O0016,2026-02-25,2026,2,25,Wednesday,C011,P008,Sneakers,3,2999,8997,High
O0017,2026-02-27,2026,2,27,Friday,C023,P011,Air Fryer,4,4999,19996,High
O0018,2026-01-05,2026,1,5,Monday,C003,P011,Air Fryer,4,4999,19996,High
O0019,2026-03-05,2026,3,5,Thursday,C019,P017,Yoga Mat,4,899,3596,Medium
O0020,2026-02-06,2026,2,6,Friday,C010,P012,Water Bottle,3,699,2097,Medium
O0021,2026-01-09,2026,1,9,Friday,C026,P019,Cricket Bat,1,2499,2499,Medium
O0022,2026-01-02,2026,1,2,Friday,C023,P014,Data Science Handbook,4,899,3596,Medium
O0023,2026-02-04,2026,2,4,Wednesday,C015,P013,Python Programming,3,749,2247,Medium
O0024,2026-02-20,2026,2,20,Friday,C030,P001,Wireless Headphones,4,1499,5996,High
O0025,2026-01-22,2026,1,22,Thursday,C026,P008,Sneakers,2,2999,5998,High
O0026,2026-01-28,2026,1,28,Wednesday,C015,P005,Power Bank,2,1199,2398,Medium
O0027,2026-01-11,2026,1,11,Sunday,C002,P008,Sneakers,1,2999,2999,Medium
O0028,2026-01-07,2026,1,7,Wednesday,C006,P011,Air Fryer,3,4999,14997,High
O0029,2026-01-15,2026,1,15,Thursday,C005,P017,Yoga Mat,1,899,899,Low
O0030,2026-03-05,2026,3,5,Thursday,C017,P010,Electric Kettle,3,1499,4497,Medium
O0031,2026-03-24,2026,3,24,Tuesday,C013,P014,Data Science Handbook,2,899,1798,Low
O0032,2026-01-25,2026,1,25,Sunday,C017,P005,Power Bank,2,1199,2398,Medium
O0033,2026-02-13,2026,2,13,Friday,C010,P008,Sneakers,5,2999,14995,High
O0034,2026-01-13,2026,1,13,Tuesday,C010,P020,Dumbbell Set,5,1999,9995,High
O0035,2026-03-01,2026,3,1,Sunday,C003,P007,Jacket,2,2499,4998,Medium
O0036,2026-03-14,2026,3,14,Saturday,C026,P016,Atomic Habits,5,599,2995,Medium
O0037,2026-03-30,2026,3,30,Monday,C028,P005,Power Bank,1,1199,1199,Low
O0038,2026-01-25,2026,1,25,Sunday,C024,P008,Sneakers,1,2999,2999,Medium
O0039,2026-02-09,2026,2,9,Monday,C016,P020,Dumbbell Set,5,1999,9995,High
O0040,2026-02-03,2026,2,3,Tuesday,C008,P010,Electric Kettle,4,1499,5996,High
O0041,2026-01-04,2026,1,4,Sunday,C008,P012,Water Bottle,5,699,3495,Medium
O0042,2026-01-29,2026,1,29,Thursday,C012,P008,Sneakers,5,2999,14995,High
O0043,2026-01-10,2026,1,10,Saturday,C003,P012,Water Bottle,4,699,2796,Medium
O0044,2026-02-27,2026,2,27,Friday,C016,P019,Cricket Bat,4,2499,9996,High
O0045,2026-01-14,2026,1,14,Wednesday,C006,P017,Yoga Mat,1,899,899,Low
O0046,2026-01-09,2026,1,9,Friday,C019,P012,Water Bottle,2,699,1398,Low
O0047,2026-02-15,2026,2,15,Sunday,C005,P004,Smart Watch,5,3299,16495,High
O0048,2026-02-02,2026,2,2,Monday,C020,P012,Water Bottle,2,699,1398,Low
O0049,2026-02-27,2026,2,27,Friday,C010,P006,Hoodie,3,1599,4797,Medium
O0050,2026-02-18,2026,2,18,Wednesday,C020,P001,Wireless Headphones,1,1499,1499,Low
O0051,2026-01-01,2026,1,1,Thursday,C008,P017,Yoga Mat,4,899,3596,Medium
O0052,2026-03-10,2026,3,10,Tuesday,C024,P008,Sneakers,5,2999,14995,High
O0053,2026-03-19,2026,3,19,Thursday,C021,P004,Smart Watch,3,3299,9897,High
O0054,2026-01-30,2026,1,30,Friday,C019,P007,Jacket,3,2499,7497,High
O0055,2026-02-23,2026,2,23,Monday,C008,P009,Coffee Maker,4,3499,13996,High
O0056,2026-01-08,2026,1,8,Thursday,C015,P018,Football,3,799,2397,Medium
O0057,2026-03-02,2026,3,2,Monday,C027,P008,Sneakers,2,2999,5998,High
O0058,2026-02-05,2026,2,5,Thursday,C029,P005,Power Bank,5,1199,5995,High
O0059,2026-03-09,2026,3,9,Monday,C017,P020,Dumbbell Set,2,1999,3998,Medium
O0060,2026-03-15,2026,3,15,Sunday,C007,P006,Hoodie,1,1599,1599,Low
O0061,2026-03-02,2026,3,2,Monday,C020,P002,Mechanical Keyboard,2,2499,4998,Medium
O0062,2026-03-25,2026,3,25,Wednesday,C009,P014,Data Science Handbook,2,899,1798,Low
O0063,2026-02-25,2026,2,25,Wednesday,C030,P020,Dumbbell Set,3,1999,5997,High
O0064,2026-01-30,2026,1,30,Friday,C007,P009,Coffee Maker,4,3499,13996,High
O0065,2026-03-14,2026,3,14,Saturday,C024,P020,Dumbbell Set,2,1999,3998,Medium
O0066,2026-02-05,2026,2,5,Thursday,C004,P001,Wireless Headphones,2,1499,2998,Medium
O0067,2026-02-22,2026,2,22,Sunday,C005,P017,Yoga Mat,1,899,899,Low
O0068,2026-02-22,2026,2,22,Sunday,C018,P010,Electric Kettle,2,1499,2998,Medium
O0069,2026-01-27,2026,1,27,Tuesday,C028,P004,Smart Watch,4,3299,13196,High
O0070,2026-03-18,2026,3,18,Wednesday,C011,P004,Smart Watch,2,3299,6598,High
O0071,2026-01-21,2026,1,21,Wednesday,C020,P016,Atomic Habits,1,599,599,Low
O0072,2026-03-21,2026,3,21,Saturday,C029,P009,Coffee Maker,4,3499,13996,High
O0073,2026-03-02,2026,3,2,Monday,C029,P004,Smart Watch,3,3299,9897,High
O0074,2026-03-19,2026,3,19,Thursday,C014,P013,Python Programming,4,749,2996,Medium
O0075,2026-02-08,2026,2,8,Sunday,C027,P004,Smart Watch,4,3299,13196,High
O0076,2026-01-03,2026,1,3,Saturday,C019,P015,Machine Learning Basics,1,999,999,Low
O0077,2026-03-27,2026,3,27,Friday,C006,P020,Dumbbell Set,3,1999,5997,High
O0078,2026-02-17,2026,2,17,Tuesday,C029,P004,Smart Watch,5,3299,16495,High
O0079,2026-01-16,2026,1,16,Friday,C021,P012,Water Bottle,5,699,3495,Medium
O0080,2026-03-29,2026,3,29,Sunday,C026,P019,Cricket Bat,5,2499,12495,High
O0081,2026-01-19,2026,1,19,Monday,C022,P018,Football,2,799,1598,Low
O0082,2026-01-30,2026,1,30,Friday,C014,P013,Python Programming,4,749,2996,Medium
O0083,2026-02-24,2026,2,24,Tuesday,C009,P013,Python Programming,1,749,749,Low
O0084,2026-01-27,2026,1,27,Tuesday,C013,P004,Smart Watch,3,3299,9897,High
O0085,2026-03-01,2026,3,1,Sunday,C028,P011,Air Fryer,2,4999,9998,High
O0086,2026-01-28,2026,1,28,Wednesday,C024,P006,Hoodie,5,1599,7995,High
O0087,2026-03-28,2026,3,28,Saturday,C006,P004,Smart Watch,5,3299,16495,High
O0088,2026-01-30,2026,1,30,Friday,C022,P008,Sneakers,2,2999,5998,High
O0089,2026-03-14,2026,3,14,Saturday,C015,P008,Sneakers,4,2999,11996,High
O0090,2026-02-07,2026,2,7,Saturday,C022,P019,Cricket Bat,2,2499,4998,Medium
O0091,2026-01-01,2026,1,1,Thursday,C002,P011,Air Fryer,2,4999,9998,High
O0092,2026-02-21,2026,2,21,Saturday,C027,P006,Hoodie,2,1599,3198,Medium
O0093,2026-02-08,2026,2,8,Sunday,C012,P016,Atomic Habits,3,599,1797,Low
